domain_index,orientation,z_start_um,z_end_um,length_um
393.0,-1.0,3037.912,3052.9089999999997,14.996999999999844
394.0,1.0,3052.909,3053.409,0.5
395.0,-1.0,3053.409,3068.406,14.996999999999844
396.0,1.0,3068.406,3068.906,0.5
397.0,-1.0,3068.906,3083.903,14.996999999999844
398.0,1.0,3083.903,3084.403,0.5
399.0,-1.0,3084.403,3099.3999999999996,14.996999999999844
400.0,1.0,3099.4,3099.9,0.5
401.0,-1.0,3099.9,3114.897,14.996999999999844
402.0,1.0,3114.897,3115.397,0.5
403.0,-1.0,3115.397,3130.394,14.996999999999844
404.0,1.0,3130.394,3130.894,0.5
405.0,-1.0,3130.894,3145.8909999999996,14.996999999999844
406.0,1.0,3145.891,3146.391,0.5
407.0,-1.0,3146.391,3161.388,14.996999999999844
408.0,1.0,3161.388,3161.888,0.5
409.0,-1.0,3161.888,3176.8849999999998,14.996999999999844
410.0,1.0,3176.8849999999998,3177.3849999999998,0.5
411.0,-1.0,3177.3849999999998,3192.3819999999996,14.996999999999844
412.0,1.0,3192.382,3192.882,0.5
413.0,-1.0,3192.882,3207.879,14.996999999999844
414.0,1.0,3207.879,3208.379,0.5
415.0,-1.0,3208.379,3223.3759999999997,14.996999999999844
416.0,1.0,3223.376,3223.876,0.5
417.0,-1.0,3223.876,3238.873,14.996999999999844
418.0,1.0,3238.873,3239.373,0.5
419.0,-1.0,3239.373,3254.37,14.996999999999844
420.0,1.0,3254.37,3254.87,0.5
421.0,-1.0,3254.87,3269.8669999999997,14.996999999999844
422.0,1.0,3269.867,3270.367,0.5
423.0,-1.0,3270.367,3285.364,14.996999999999844
424.0,1.0,3285.364,3285.864,0.5
425.0,-1.0,3285.864,3300.861,14.996999999999844
426.0,1.0,3300.861,3301.361,0.5
427.0,-1.0,3301.361,3316.3579999999997,14.996999999999844
428.0,1.0,3316.358,3316.858,0.5
429.0,-1.0,3316.858,3331.855,14.996999999999844
430.0,1.0,3331.855,3332.355,0.5
431.0,-1.0,3332.355,3347.352,14.996999999999844
432.0,1.0,3347.352,3347.852,0.5
433.0,-1.0,3347.852,3362.8489999999997,14.996999999999844
434.0,1.0,3362.849,3363.349,0.5
435.0,-1.0,3363.349,3378.346,14.996999999999844
436.0,1.0,3378.346,3378.846,0.5
437.0,-1.0,3378.846,3393.843,14.996999999999844
438.0,1.0,3393.843,3394.343,0.5
439.0,-1.0,3394.343,3409.3399999999997,14.996999999999844
440.0,1.0,3409.34,3409.84,0.5
441.0,-1.0,3409.84,3424.837,14.996999999999844
442.0,1.0,3424.837,3425.337,0.5
443.0,-1.0,3425.337,3440.334,14.996999999999844
444.0,1.0,3440.334,3440.834,0.5
445.0,-1.0,3440.834,3455.8309999999997,14.996999999999844
446.0,1.0,3455.831,3456.331,0.5
447.0,-1.0,3456.331,3471.328,14.996999999999844
448.0,1.0,3471.328,3471.828,0.5
449.0,-1.0,3471.828,3486.825,14.996999999999844
450.0,1.0,3486.825,3487.325,0.5
451.0,-1.0,3487.325,3502.3219999999997,14.996999999999844
452.0,1.0,3502.322,3502.822,0.5
453.0,-1.0,3502.822,3517.819,14.996999999999844
454.0,1.0,3517.819,3518.319,0.5
455.0,-1.0,3518.319,3533.316,14.996999999999844
456.0,1.0,3533.316,3533.816,0.5
457.0,-1.0,3533.816,3548.8129999999996,14.996999999999844
458.0,1.0,3548.813,3549.313,0.5
459.0,-1.0,3549.313,3564.31,14.996999999999844
460.0,1.0,3564.31,3564.81,0.5
461.0,-1.0,3564.81,3579.807,14.996999999999844
462.0,1.0,3579.807,3580.307,0.5
463.0,-1.0,3580.307,3595.3039999999996,14.996999999999844
464.0,1.0,3595.304,3595.804,0.5
465.0,-1.0,3595.804,3610.801,14.996999999999844
466.0,1.0,3610.801,3611.301,0.5
467.0,-1.0,3611.301,3626.298,14.996999999999844
468.0,1.0,3626.298,3639.5715149273924,13.273514927392625
469.0,-1.0,3639.5715149273924,3641.7949999999996,2.223485072607218
470.0,1.0,3641.795,3655.054115439765,13.259115439765083
471.0,-1.0,3655.054115439765,3657.292,2.237884560234761
