signal_nm,phi2_fixed_idler_norm,pump2_norm,f2_norm
1.272193749999999909e+03,3.767216741009095192e-05,1.497732904427948472e-37,5.642518138449738345e-42
1.272212500000000091e+03,3.696339234004876006e-05,1.628299316808908745e-37,6.018995907407863936e-42
1.272231250000000045e+03,3.626118081917514119e-05,1.770170670947134801e-37,6.419113705618631050e-42
1.272250000000000000e+03,3.556569891777632437e-05,1.924319024132257792e-37,6.844258537070968292e-42
1.272268749999999955e+03,3.487711239260795476e-05,2.091799427686169828e-37,7.295894510985940861e-42
1.272287499999999909e+03,3.419558665816754112e-05,2.273756962111236669e-37,7.775567324671029199e-42
1.272306250000000091e+03,3.352128676840154597e-05,2.471434364309689358e-37,8.284909099257568273e-42
1.272325000000000045e+03,3.285437739288031393e-05,2.686180296155045208e-37,8.825643606083305481e-42
1.272343750000000000e+03,3.219502279874649181e-05,2.919458308131613550e-37,9.399591933876144292e-42
1.272362499999999955e+03,3.154338682928949279e-05,3.172856555860028603e-37,1.000867864781215124e-41
1.272381249999999909e+03,3.089963288273865784e-05,3.448098332391245923e-37,1.065493850256608916e-41
1.272400000000000091e+03,3.026392388356686703e-05,3.747053484185239545e-37,1.134052377580288964e-41
1.272418750000000045e+03,2.963642227519370302e-05,4.071750784440697688e-37,1.206771231145296832e-41
1.272437500000000000e+03,2.901728998549650909e-05,4.424391343280891944e-37,1.283891634549460525e-41
1.272456249999999955e+03,2.840668841505050547e-05,4.807363141309571379e-37,1.365669223472578620e-41
1.272474999999999909e+03,2.780477841470542852e-05,5.223256779593830955e-37,1.452375119192761670e-41
1.272493750000000091e+03,2.721172025572083961e-05,5.674882547503696585e-37,1.544297115926472078e-41
1.272512500000000045e+03,2.662767361899304855e-05,6.165288917395367126e-37,1.641740998186158207e-41
1.272531250000000000e+03,2.605279757134463527e-05,6.697782585034082777e-37,1.745032003717415629e-41
1.272549999999999955e+03,2.548725054429222390e-05,7.275950183533724582e-37,1.854516451782531793e-41
1.272568749999999909e+03,2.493119031305601700e-05,7.903681809700758112e-37,1.970563558472060383e-41
1.272587500000000091e+03,2.438477397238595978e-05,8.585196512974127463e-37,2.093567463354996163e-41
1.272606250000000045e+03,2.384815792197415220e-05,9.325069909273783924e-37,2.223949496245327799e-41
1.272625000000000000e+03,2.332149784209908066e-05,1.012826409567222321e-36,2.362160714048975071e-41
1.272643749999999955e+03,2.280494867341322315e-05,1.100016005624495344e-36,2.508684744191355864e-41
1.272662499999999909e+03,2.229866459970873414e-05,1.194659276461335040e-36,2.664040974640392984e-41
1.272681250000000091e+03,2.180279901977077013e-05,1.297388920647122012e-36,2.828788134191746447e-41
1.272700000000000045e+03,2.131750453572817100e-05,1.408890956225672932e-36,3.003528316746662347e-41
1.272718750000000000e+03,2.084293292590378062e-05,1.529909181198457693e-36,3.188911503490073491e-41
1.272737499999999955e+03,2.037923512971663340e-05,1.661250004268714232e-36,3.385640650394557846e-41
1.272756249999999909e+03,1.992656122563169112e-05,1.803787676518916588e-36,3.594477411515020846e-41
1.272775000000000091e+03,1.948506040770612400e-05,1.958469956909445244e-36,3.816248579764181707e-41
1.272793750000000045e+03,1.905488097211909822e-05,2.126324247381930848e-36,4.051853339095589958e-41
1.272812500000000000e+03,1.863617028966599711e-05,2.308464236163466056e-36,4.302271426456617339e-41
1.272831249999999955e+03,1.822907479371535408e-05,2.506097091029012918e-36,4.568572324472979115e-41
1.272849999999999909e+03,1.783373995506436796e-05,2.720531247727026907e-36,4.851925608558438969e-41
1.272868750000000091e+03,1.745031026530443285e-05,2.953184842439091056e-36,5.153612597962794615e-41
1.272887500000000045e+03,1.707892921303019848e-05,3.205594841073322426e-36,5.475039469355334314e-41
1.272906250000000000e+03,1.671973926756082011e-05,3.479426922597837857e-36,5.817752018731140098e-41
1.272924999999999955e+03,1.637288186313102704e-05,3.776486178170260958e-36,6.183452273725255267e-41
1.272943749999999909e+03,1.603849737216660635e-05,4.098728692864932258e-36,6.574017179436265615e-41
1.272962500000000091e+03,1.571672508940148819e-05,4.448274082354612421e-36,6.991519619494414113e-41
1.272981250000000045e+03,1.540770321552093310e-05,4.827419062452402561e-36,7.438252053181657699e-41
1.273000000000000000e+03,1.511156883215905743e-05,5.238652136290085393e-36,7.916753082219608262e-41
