signal_nm,phi2_fixed_idler_norm,pump2_norm,f2_norm
1.272043750000000045e+03,9.380353113780692299e-05,1.020888224285805270e-39,9.576652271807698013e-44
1.272062500000000000e+03,9.304361559346992694e-05,1.112378910400638259e-39,1.035036491587980460e-43
1.272081249999999955e+03,9.227906178313740530e-05,1.212016061857960804e-39,1.118479123599226146e-43
1.272099999999999909e+03,9.151000727035953585e-05,1.320520300958954134e-39,1.208453680980590592e-43
1.272118750000000091e+03,9.073659069546371352e-05,1.438675570315306499e-39,1.305454270043188920e-43
1.272137500000000045e+03,8.995895175740245824e-05,1.567334658991626743e-39,1.410010869163175738e-43
1.272156250000000000e+03,8.917723120117017799e-05,1.707425207648953769e-39,1.522691803056789730e-43
1.272174999999999955e+03,8.839157079218879767e-05,1.859956233833654498e-39,1.644106376345470875e-43
1.272193749999999909e+03,8.760211330856231362e-05,2.026025222183387779e-39,1.774907676271861451e-43
1.272212500000000091e+03,8.680900252408677638e-05,2.206825828145837281e-39,1.915795554013911280e-43
1.272231250000000045e+03,8.601238318045808259e-05,2.403656247846114016e-39,2.067519794700858447e-43
1.272250000000000000e+03,8.521240098085050303e-05,2.617928311359441570e-39,2.230883487668327200e-43
1.272268749999999955e+03,8.440920257060128206e-05,2.851177361490499535e-39,2.406746607630526540e-43
1.272287499999999909e+03,8.360293551145830178e-05,3.105072985310897477e-39,2.596029818551725720e-43
1.272306250000000091e+03,8.279374827433773343e-05,3.381430671749291261e-39,2.799718513514687397e-43
1.272325000000000045e+03,8.198179021452642280e-05,3.682224474331954567e-39,3.018867102411030887e-43
1.272343750000000000e+03,8.116721155689311513e-05,4.009600765392459394e-39,3.254603562004553828e-43
1.272362499999999955e+03,8.035016337752212451e-05,4.365893174915472017e-39,3.508134261993345638e-43
1.272381249999999909e+03,7.953079757967540617e-05,4.753638815489134874e-39,3.780749081839386829e-43
1.272400000000000091e+03,7.870926688519427764e-05,5.175595903213850248e-39,4.073826834686781531e-43
1.272418750000000045e+03,7.788572481154794292e-05,5.634762893930235902e-39,4.388841013347255332e-43
1.272437500000000000e+03,7.706032564689597520e-05,6.134399263897579777e-39,4.727365875293446005e-43
1.272456249999999955e+03,7.623322444261922094e-05,6.678048075623274294e-39,5.091082885620354882e-43
1.272474999999999909e+03,7.540457698358401031e-05,7.269560480620480354e-39,5.481787533588691025e-43
1.272493750000000091e+03,7.457453978253971870e-05,7.913122324704812873e-39,5.901396544831062624e-43
1.272512500000000045e+03,7.374327004090166972e-05,8.613283034310315961e-39,6.351955504496492917e-43
1.272531250000000000e+03,7.291092565288878960e-05,9.374986978716488289e-39,6.835646917823278967e-43
1.272549999999999955e+03,7.207766516903232998e-05,1.020360751826595850e-38,7.354798722555686094e-43
1.272568749999999909e+03,7.124364778080133906e-05,1.110498396722718561e-38,7.911893279944272412e-43
1.272587500000000091e+03,7.040903330588506434e-05,1.208546171910435534e-38,8.509576865842809272e-43
1.272606250000000045e+03,6.957398216707463227e-05,1.315193580277316652e-38,9.150669684460386089e-43
1.272625000000000000e+03,6.873865536739559752e-05,1.431189816083329472e-38,9.838176429187515219e-43
1.272643749999999955e+03,6.790321447610038973e-05,1.557348896613495751e-38,1.057529741773664848e-42
1.272662499999999909e+03,6.706782160107328111e-05,1.694555231836739378e-38,1.136544032410870952e-42
1.272681250000000091e+03,6.623263938407305640e-05,1.843769669271459796e-38,1.221223254032159710e-42
1.272700000000000045e+03,6.539783096352724649e-05,2.006036054181337540e-38,1.311953418625462640e-42
1.272718750000000000e+03,6.456355996139815756e-05,2.182488348915281577e-38,1.409145180642290110e-42
1.272737499999999955e+03,6.372999046976577427e-05,2.374358358447161257e-38,1.513235277881516290e-42
1.272756249999999909e+03,6.289728701602644218e-05,2.582984113610316696e-38,1.624688046282621288e-42
1.272775000000000091e+03,6.206561455604848912e-05,2.809818967414992322e-38,1.743997012768195305e-42
1.272793750000000045e+03,6.123513844776725377e-05,3.056441464788808840e-38,1.871686568477777078e-42
1.272812500000000000e+03,6.040602442845493625e-05,3.324566050979403240e-38,2.008313726243438958e-42
1.272831249999999955e+03,5.957843859781836729e-05,3.616054689336179689e-38,2.154469965956591893e-42
1.272849999999999909e+03,5.875254739526938739e-05,3.932929465178885542e-38,2.310783171184395755e-42
1.272868750000000091e+03,5.792851758530336400e-05,4.277386258843873761e-38,2.477919661336154867e-42
1.272887500000000045e+03,5.710651622640292480e-05,4.651809577875908934e-38,2.656586322381745366e-42
1.272906250000000000e+03,5.628671065387711760e-05,5.058788646012632751e-38,2.847532841446161431e-42
1.272924999999999955e+03,5.546926846680495988e-05,5.501134854607039588e-38,3.051554049421502127e-42
1.272943749999999909e+03,5.465435749543236818e-05,5.981900690994945173e-38,3.269492374911945918e-42
1.272962500000000091e+03,5.384214578784167552e-05,6.504400268049172840e-38,3.502240416303758856e-42
1.272981250000000045e+03,5.303280158687862335e-05,7.072231589043908254e-38,3.750743635511926204e-42
1.273000000000000000e+03,5.222649330703791660e-05,7.689300693934190112e-38,4.016003179490116839e-42
1.273018749999999955e+03,5.142338951731018987e-05,8.359847844267185857e-38,4.299078835487738182e-42
1.273037499999999909e+03,5.062365891076230990e-05,9.088475918140635609e-38,4.601092125087125768e-42
1.273056250000000091e+03,4.982747030255882858e-05,9.880181199925959445e-38,4.923229546953587783e-42
1.273075000000000045e+03,4.903499258335183343e-05,1.074038676556630942e-37,5.266745969459947051e-42
1.273093750000000000e+03,4.824639471999637189e-05,1.167497868033659220e-37,5.632968189059814809e-42
1.273112499999999955e+03,4.746184572230648173e-05,1.269034524463206480e-37,6.023298655895786636e-42
1.273131249999999909e+03,4.668151462037124891e-05,1.379341954201992477e-37,6.439219379819898639e-42
1.273150000000000091e+03,4.590557045454575805e-05,1.499172556600438306e-37,6.882296028624927252e-42
1.273168750000000045e+03,4.513418224045001733e-05,1.629342822355809612e-37,7.354182224825001215e-42
1.273187500000000000e+03,4.436751895859051447e-05,1.770738753956359835e-37,7.856624060881458154e-42
1.273206249999999955e+03,4.360574952636512734e-05,1.924321741190632297e-37,8.391464841380036350e-42
1.273224999999999909e+03,4.284904277675403148e-05,2.091134929672526240e-37,8.960650071927772728e-42
1.273243750000000091e+03,4.209756743990137527e-05,2.272310123420625042e-37,9.566232712867992704e-42
1.273262500000000045e+03,4.135149211894406987e-05,2.469075265977493544e-37,1.021037871697057702e-41
1.273281250000000000e+03,4.061098527172240315e-05,2.682762548160011402e-37,1.089537287679288137e-41
1.273299999999999955e+03,3.987621518961585759e-05,2.914817194569917109e-37,1.162362500677044321e-41
1.273318749999999909e+03,3.914734996497791221e-05,3.166806985247523366e-37,1.239767648712563315e-41
1.273337500000000091e+03,3.842455748591053368e-05,3.440432573472981205e-37,1.322020721497427063e-41
1.273356250000000045e+03,3.770800540307779814e-05,3.737538665910610318e-37,1.409404298670602201e-41
1.273375000000000000e+03,3.699786111700667859e-05,4.060126136505752712e-37,1.502216336992861219e-41
1.273393749999999955e+03,3.629429174549532450e-05,4.410365151539915943e-37,1.600771010237721413e-41
1.273412499999999909e+03,3.559746411368925088e-05,4.790609389742009575e-37,1.705399609178262454e-41
1.273431250000000091e+03,3.490754472142002570e-05,5.203411447955982803e-37,1.816451506434974348e-41
1.273450000000000045e+03,3.422469973247668957e-05,5.651539530603820647e-37,1.934295195656199836e-41
1.273468750000000000e+03,3.354909494894096238e-05,6.137995529081894423e-37,2.059319412007748190e-41
1.273487499999999955e+03,3.288089578407913966e-05,6.666034605847607560e-37,2.191934344157915413e-41
1.273506249999999909e+03,3.222026724908425835e-05,7.239186407796080494e-37,2.332572950034978860e-41
1.273525000000000091e+03,3.156737392684072171e-05,7.861278042990506563e-37,2.481692387365898076e-41
1.273543750000000045e+03,3.092237995470829370e-05,8.536458966752803477e-37,2.639775574989480836e-41
1.273562500000000000e+03,3.028544899564549557e-05,9.269227934043589952e-37,2.807332899755330406e-41
1.273581249999999955e+03,2.965674422893623154e-05,1.006446218886542702e-36,2.984904090442941309e-41
