structure,pump_intensity_fwhm_nm,purity
erf_initial,3.540000000000001,0.9546857496842975
erf_initial,3.5500000000000007,0.954077488757146
erf_initial,3.560000000000001,0.9534643528345944
erf_initial,3.570000000000001,0.9528464119826388
erf_initial,3.580000000000001,0.9522237355583003
erf_initial,3.5900000000000007,0.9515963922151921
erf_initial,3.600000000000001,0.9509644499090758
erf_initial,3.610000000000001,0.9503279759034142
erf_initial,3.620000000000001,0.9496870367749058
erf_initial,3.630000000000001,0.9490416984190093
erf_initial,3.640000000000001,0.9483920260554612
erf_initial,3.6500000000000012,0.9477380842337577
erf_initial,3.660000000000001,0.947079936838662
erf_initial,3.670000000000001,0.9464176470956455
erf_initial,3.680000000000001,0.9457512775763435
erf_initial,3.6900000000000013,0.9450808902040033
erf_initial,3.700000000000001,0.944406546258873
erf_initial,3.710000000000001,0.9437283063836096
erf_initial,3.720000000000001,0.9430462305886609
erf_initial,3.7300000000000013,0.9423603782575952
erf_initial,3.740000000000001,0.9416708081524595
erf_initial,3.750000000000001,0.94097757841908
erf_initial,3.760000000000001,0.9402807465923462
erf_initial,3.7700000000000014,0.9395803696014962
erf_initial,3.780000000000001,0.9388765037753346
erf_initial,3.790000000000001,0.9381692048474685
erf_initial,3.800000000000001,0.9374585279615039
optimized,2.7999999999999994,0.9499494110319769
optimized,2.809999999999999,0.9509133319721248
optimized,2.819999999999999,0.9518639953861944
optimized,2.8299999999999987,0.9528014791880667
optimized,2.8399999999999985,0.9537258611909055
optimized,2.8499999999999983,0.9546372191013797
optimized,2.859999999999998,0.9555356305140077
optimized,2.869999999999998,0.956421172905597
optimized,2.8799999999999977,0.9572939236297895
optimized,2.8899999999999975,0.9581539599117066
optimized,2.8999999999999972,0.959001358842717
optimized,2.909999999999997,0.9598361973752657
optimized,2.919999999999997,0.9606585523178547
optimized,2.9299999999999966,0.9614685003300771
optimized,2.9399999999999964,0.9622661179177787
optimized,2.949999999999996,0.963051481428309
optimized,2.959999999999996,0.9638246670458713
optimized,2.9699999999999958,0.9645857507869616
optimized,2.9799999999999955,0.965334808495904
optimized,2.9899999999999953,0.9660719158404977
optimized,2.999999999999995,0.9667971483077336
optimized,3.009999999999995,0.9675105811996134
optimized,3.0199999999999947,0.968212289629058
optimized,3.0299999999999945,0.9689023485159166
optimized,3.0399999999999943,0.9695808325830423
optimized,3.049999999999994,0.970247816352487
optimized,3.059999999999994,0.9709033741417474
optimized,3.0699999999999936,0.9715475800601352
optimized,3.0799999999999934,0.9721805080052015
optimized,3.089999999999993,0.9728022316592625
optimized,3.099999999999993,0.9734128244860071
optimized,3.1099999999999928,0.9740123597271838
optimized,3.1199999999999926,0.9746009103993654
optimized,3.1299999999999923,0.9751785492908069
optimized,3.139999999999992,0.9757453489583666
optimized,3.149999999999992,0.9763013817245274
optimized,3.1599999999999917,0.9768467196744706
optimized,3.1699999999999915,0.9773814346532401
optimized,3.1799999999999913,0.977905598262996
optimized,3.189999999999991,0.9784192818603102
optimized,3.199999999999991,0.9789225565535684
optimized,3.2099999999999906,0.9794154932004153
optimized,3.2199999999999904,0.9798981624053127
optimized,3.22999999999999,0.9803706345171176
optimized,3.23999999999999,0.9808329796267726
optimized,3.24999999999999,0.9812852675650516
optimized,3.2599999999999896,0.9817275679003584
optimized,3.2699999999999894,0.9821599499366173
optimized,3.279999999999989,0.9825824827112228
optimized,3.289999999999989,0.9829952349930384
optimized,3.2999999999999887,0.9833982752804912
optimized,3.3099999999999885,0.9837916717996918
optimized,3.3199999999999883,0.9841754925026611
